5.344629,2.197244,179.022280,5.127980,5.128216,4,0,0.766388,-0.012687,1.934881,1.534983,-0.363241,176.085494
5.319666,2.197674,179.022057,5.127812,5.128222,4,0,0.770641,-0.012727,1.922145,1.573829,43.904904,-178.138195
5.294660,2.198105,179.020982,5.127869,5.128221,4,0,0.769112,-0.013736,1.891206,0.277537,-0.496995,179.248561
5.269677,2.198535,179.020289,5.127935,5.128217,4,0,0.770171,-0.014152,1.867897,1.075058,-0.010487,178.526730
5.244683,2.198966,179.018477,5.127906,5.128218,4,0,0.771532,-0.014598,1.845520,0.731990,-0.205828,-179.393779
5.219688,2.199398,179.017353,5.128045,5.128214,4,0,0.770124,-0.015113,1.817137,0.071377,-0.299128,179.693228
5.194703,2.199828,179.020233,5.127915,5.128222,4,0,0.767958,-0.015573,1.786323,0.494678,-1.577000,-178.791365
5.169704,2.200256,179.022633,5.127993,5.128218,4,0,0.768111,-0.016171,1.760766,1.131654,-0.853374,179.096913
5.144709,2.200684,179.023880,5.127929,5.128221,4,0,0.770291,-0.016752,1.740562,1.324945,-0.877007,-179.304875
5.119733,2.201115,179.022147,5.127850,5.128225,4,0,0.772047,-0.017107,1.719295,0.663732,-0.749772,-178.701536
5.094745,2.201543,179.023450,5.127840,5.128228,4,0,0.770101,-0.017728,1.691642,1.754807,49.710707,-177.888810
5.069765,2.201972,179.023317,5.127838,5.128228,4,0,0.771023,-0.018196,1.666056,1.195003,-0.664279,-179.808910
5.044772,2.202400,179.024994,5.127900,5.128223,4,0,0.771557,-0.018838,1.642087,1.454306,-0.727975,178.953072
5.019755,2.202828,179.025462,5.128105,5.128208,4,0,0.772200,-0.019748,1.617868,0.867295,-0.552711,178.781989
4.994777,2.203254,179.026961,5.128011,5.128213,4,0,0.772614,-0.020129,1.593187,1.056504,-0.642394,179.059596
4.969797,2.203681,179.027451,5.127887,5.128219,4,0,0.773026,-0.020555,1.568164,1.136617,-1.529395,178.621405
4.944795,2.204108,179.027650,5.127880,5.128220,4,0,0.772982,-0.021142,1.543175,0.915521,-0.643358,-179.805339
4.919817,2.204537,179.025950,5.127869,5.128219,4,0,0.772656,-0.021549,1.517407,0.814288,-0.860612,179.672130
4.894818,2.204966,179.025830,5.127881,5.128218,4,0,0.773099,-0.022162,1.492982,1.014421,-0.702527,179.638256
4.869842,2.205392,179.027219,5.127816,5.128218,4,0,0.773063,-0.022597,1.467969,1.016562,-0.042218,179.009692
4.844824,2.205820,179.027050,5.128034,5.128209,4,0,0.776705,-0.023385,1.449047,0.814825,-0.237346,-179.568753
4.819868,2.206247,179.027041,5.127835,5.128213,4,0,0.776581,-0.023636,1.423495,0.773685,-0.299006,179.964676
4.794865,2.206675,179.026916,5.127937,5.128210,4,0,0.768631,-0.024559,1.383698,0.502144,-1.342204,-179.491017
4.769875,2.207105,179.024901,5.127874,5.128214,4,0,0.775241,-0.024882,1.370322,1.097308,-0.902641,179.283708
4.744870,2.207531,179.026481,5.128103,5.128204,4,0,0.778022,-0.025512,1.349765,-0.018800,-0.582366,-179.013560
4.719888,2.207958,179.028177,5.127896,5.128213,4,0,0.769218,-0.026154,1.309509,-0.113210,-1.419235,-178.250752
4.694916,2.208383,179.029278,5.127841,5.128211,X,X,X,X,X,X,X,X
4.669908,2.208810,179.029246,5.127847,5.128214,X,X,X,X,X,X,X,X
4.644927,2.209236,179.029672,5.127935,5.128210,X,X,X,X,X,X,X,X
4.619926,2.209663,179.029092,5.128031,5.128207,X,X,X,X,X,X,X,X
4.594932,2.210088,179.029216,5.127998,5.128209,X,X,X,X,X,X,X,X
4.569944,2.210516,179.029724,5.127850,5.128216,X,X,X,X,X,X,X,X
4.544984,2.210941,179.029284,5.127852,5.128210,X,X,X,X,X,X,X,X
4.519991,2.211370,179.028424,5.127875,5.128215,X,X,X,X,X,X,X,X
4.494979,2.211798,179.028377,5.128008,5.128211,X,X,X,X,X,X,X,X
4.470000,2.212225,179.028036,5.127920,5.128210,X,X,X,X,X,X,X,X
4.445015,2.212653,179.027864,5.127853,5.128214,X,X,X,X,X,X,X,X
4.420021,2.213077,179.029952,5.127902,5.128211,X,X,X,X,X,X,X,X
