6.350000,2.175000,0.000000,0.000000,X,X,X,X,X,X,X,X
6.347803,2.175076,1.089446,0.883001,X,X,X,X,X,X,X,X
6.341263,2.175074,1.988882,1.743933,X,X,X,X,X,X,X,X
6.330411,2.175041,2.897783,2.588493,X,X,X,X,X,X,X,X
6.315250,2.174993,3.829201,3.444276,X,X,X,X,X,X,X,X
6.295804,2.174953,4.760579,4.274107,X,X,X,X,X,X,X,X
6.272324,2.175028,5.128490,4.951588,X,X,X,X,X,X,X,X
6.247350,2.175342,5.128291,5.127913,X,X,X,X,X,X,X,X
6.222325,2.175718,5.127995,5.128685,X,X,X,X,X,X,X,X
6.197358,2.176075,5.128055,5.128463,X,X,X,X,X,X,X,X
6.172353,2.176413,5.128189,5.128174,X,X,X,X,X,X,X,X
6.147370,2.176739,5.128248,5.127972,X,X,X,X,X,X,X,X
6.122381,2.177075,5.128210,5.128039,X,X,X,X,X,X,X,X
6.097383,2.177420,5.128175,5.128144,X,X,X,X,X,X,X,X
6.072384,2.177762,5.128176,5.128149,X,X,X,X,X,X,X,X
6.047389,2.178103,5.128206,5.128059,X,X,X,X,X,X,X,X
6.022419,2.178439,5.128218,5.127995,X,X,X,X,X,X,X,X
5.997403,2.178777,5.128219,5.128082,X,X,X,X,X,X,X,X
5.972398,2.179118,5.128206,5.128134,X,X,X,X,X,X,X,X
5.947425,2.179457,5.128228,5.127995,X,X,X,X,X,X,X,X
5.922413,2.179797,5.128205,5.128062,X,X,X,X,X,X,X,X
5.897420,2.180139,5.128203,5.128177,X,X,X,X,X,X,X,X
5.872408,2.180483,5.128193,5.128137,X,X,X,X,X,X,X,X
5.847434,2.180822,5.128198,5.128032,X,X,X,X,X,X,X,X
5.822438,2.181161,5.128198,5.128129,X,X,X,X,X,X,X,X
5.797448,2.181498,5.128211,5.128080,X,X,X,X,X,X,X,X
5.772472,2.181837,5.128213,5.127966,X,X,X,X,X,X,X,X
5.747471,2.182178,5.128219,5.127995,X,X,X,X,X,X,X,X
5.722473,2.182516,5.128211,5.128090,X,X,X,X,X,X,X,X
5.697466,2.182857,5.128197,5.128164,X,X,X,X,X,X,X,X
5.672479,2.183200,5.128198,5.128157,X,X,X,X,X,X,X,X
5.647490,2.183538,5.128198,5.128092,X,X,X,X,X,X,X,X
5.622498,2.183876,5.128214,5.127985,X,X,X,X,X,X,X,X
5.597513,2.184212,5.128203,5.128055,X,X,X,X,X,X,X,X
5.572519,2.184552,5.128204,5.128037,X,X,X,X,X,X,X,X
5.547546,2.184892,5.128207,5.127913,X,X,X,X,X,X,X,X
5.522527,2.185235,5.128204,5.128078,X,X,X,X,X,X,X,X
5.497549,2.185575,5.128206,5.127981,X,X,X,X,X,X,X,X
5.472560,2.185918,5.128206,5.128019,X,X,X,X,X,X,X,X
5.447544,2.186258,5.128205,5.128171,X,X,X,X,X,X,X,X
5.422572,2.186601,5.128208,5.128052,X,X,X,X,X,X,X,X
